original_index,delta,period,city
2926,-888.0700000000002,1,GRONINGEN
787,-1060.8200000000002,1,GRONINGEN
3555,1213.69,1,GRONINGEN
181,161.7199999999998,1,GRONINGEN
1910,308.6700000000001,1,GRONINGEN
2615,-22882.62,1,GRONINGEN
2650,1808.0,1,GRONINGEN
1556,2062.73,1,GRONINGEN
1942,-32.88000000000011,1,GRONINGEN
3693,1636.33,1,GRONINGEN
971,-115.67000000000007,1,GRONINGEN
1182,139.19999999999982,1,GRONINGEN
496,1004.27,1,GRONINGEN
2400,23.059999999999945,1,GRONINGEN
3379,407.75,1,GRONINGEN
2285,-94.05999999999995,1,GRONINGEN
1192,-520.0899999999999,1,GRONINGEN
1072,-504.5799999999999,1,GRONINGEN
345,757.5900000000001,1,GRONINGEN
243,-103.17000000000007,1,GRONINGEN
1351,-2522.91,1,GRONINGEN
3393,655.3600000000001,1,GRONINGEN
559,179.20000000000005,1,GRONINGEN
1377,-1378.67,1,GRONINGEN
1967,-740.6300000000001,1,GRONINGEN
3904,-642.3699999999999,1,GRONINGEN
3062,-7080.13,1,GRONINGEN
2559,-473.5799999999999,1,GRONINGEN
3990,1263.6800000000003,1,GRONINGEN
2911,-1173.38,1,GRONINGEN
695,-1952.3,1,GRONINGEN
1609,-389.78999999999996,1,GRONINGEN
3925,-766.21,1,GRONINGEN
1901,-150.48000000000002,1,GRONINGEN
1746,-1591.53,1,GRONINGEN
3770,-600.0,1,GRONINGEN
2878,175.8800000000001,1,GRONINGEN
1924,-1106.31,1,GRONINGEN
1660,545.1700000000001,1,GRONINGEN
1070,600.3600000000001,1,GRONINGEN
2270,-487.8499999999999,1,GRONINGEN
1317,-2648.65,1,GRONINGEN
3778,-1108.22,1,GRONINGEN
2429,34.01999999999998,1,GRONINGEN
963,-1529.14,1,GRONINGEN
2401,-301.8499999999999,1,GRONINGEN
872,-832.46,1,GRONINGEN
3794,6547.32,1,GRONINGEN
1848,704.7199999999998,1,GRONINGEN
2025,-856.94,1,GRONINGEN
755,-895.8199999999999,1,GRONINGEN
898,517.6500000000001,1,GRONINGEN
2457,-527.8900000000001,1,GRONINGEN
2058,372.8000000000002,1,GRONINGEN
445,-559.0700000000002,1,GRONINGEN
3036,-983.7600000000002,1,GRONINGEN
3766,-6.0,1,GRONINGEN
1228,53.34999999999991,1,GRONINGEN
2826,8106.33,1,GRONINGEN
1361,-13.889999999999873,1,GRONINGEN
1768,-1739.32,1,GRONINGEN
2913,-2161.0299999999997,1,GRONINGEN
1279,-3672.07,1,GRONINGEN
1674,-432.7800000000002,1,GRONINGEN
2212,1996.0500000000002,1,GRONINGEN
1780,4556.379999999999,1,GRONINGEN
247,826.6199999999999,1,GRONINGEN
2939,1946.4099999999999,1,GRONINGEN
512,-248.43000000000006,1,GRONINGEN
1604,-3732.83,1,GRONINGEN
2915,-1283.12,1,GRONINGEN
2064,-442.48,1,GRONINGEN
2791,-340.1999999999998,1,GRONINGEN
2288,60.34999999999991,1,GRONINGEN
2897,-1928.0,1,GRONINGEN
3658,665.75,1,GRONINGEN
2121,-864.8199999999999,1,GRONINGEN
1018,91.57999999999993,1,GRONINGEN
1955,-979.8899999999999,1,GRONINGEN
976,2901.3100000000004,1,GRONINGEN
337,2572.6400000000003,1,GRONINGEN
1523,713.7199999999998,1,GRONINGEN
162,-1507.62,1,GRONINGEN
1353,-773.3199999999997,1,GRONINGEN
985,453.52,1,GRONINGEN
1115,-137.69000000000005,1,GRONINGEN
233,-3965.71,1,GRONINGEN
2344,-17682.37,1,GRONINGEN
220,7341.09,1,GRONINGEN
642,-510.90999999999985,1,GRONINGEN
1688,-360.09000000000015,1,GRONINGEN
1192,-520.0899999999999,1,GRONINGEN
2846,741.69,1,GRONINGEN
2012,-3241.35,1,GRONINGEN
3054,-5734.04,1,GRONINGEN
220,7341.09,1,GRONINGEN
838,-5316.14,1,GRONINGEN
27,6067.379999999999,1,GRONINGEN
2645,-44.5,1,GRONINGEN
67,1304.17,1,GRONINGEN
2491,108.78999999999996,1,GRONINGEN
3565,1078.4499999999998,1,GRONINGEN
1931,4134.0,1,GRONINGEN
1313,-1033.58,1,GRONINGEN
1431,4535.22,1,GRONINGEN
1073,-254.16000000000008,1,GRONINGEN
55,-3410.7999999999993,1,GRONINGEN
1617,1728.38,1,GRONINGEN
1673,-891.0,1,GRONINGEN
819,-475.52,1,GRONINGEN
3766,-6.0,1,GRONINGEN
1190,-1275.6399999999999,1,GRONINGEN
968,-954.1700000000001,1,GRONINGEN
2336,-5307.4,1,GRONINGEN
332,-3762.7,1,GRONINGEN
2801,-2036.65,1,GRONINGEN
18,1676.2600000000002,1,GRONINGEN
1131,6221.25,1,GRONINGEN
2872,-189.57999999999993,1,GRONINGEN
2983,1193.33,1,GRONINGEN
894,-455.5799999999999,1,GRONINGEN
2280,-144.3499999999999,1,GRONINGEN
3572,-584.54,1,GRONINGEN
3847,678.79,1,GRONINGEN
3791,-1413.73,1,GRONINGEN
3872,2168.75,1,GRONINGEN
1618,-725.9200000000001,1,GRONINGEN
1978,-3121.79,1,GRONINGEN
2471,-19.789999999999964,1,GRONINGEN
1947,-22110.8,1,GRONINGEN
3265,-2394.6099999999997,1,GRONINGEN
1193,-1315.66,1,GRONINGEN
3932,-1594.13,1,GRONINGEN
2854,276.5,1,GRONINGEN
1752,-1583.0,1,GRONINGEN
2336,-5307.4,1,GRONINGEN
2051,887.6999999999998,1,GRONINGEN
1932,1684.0699999999997,1,GRONINGEN
3691,1239.81,1,GRONINGEN
1656,-428.0,1,GRONINGEN
