original_index,delta,period,city
3443,-2415,1,AMSTERDAM
12321,1109,1,AMSTERDAM
13961,-39,1,AMSTERDAM
7199,2966,1,AMSTERDAM
5792,-1529,1,AMSTERDAM
13204,-1892,1,AMSTERDAM
6454,526,1,AMSTERDAM
9786,-342,1,AMSTERDAM
3397,-17869,1,AMSTERDAM
7174,-545,1,AMSTERDAM
2181,-10513,1,AMSTERDAM
2106,-3792,1,AMSTERDAM
5694,-776,1,AMSTERDAM
7460,-1620,1,AMSTERDAM
7386,-3280,1,AMSTERDAM
11539,-92,1,AMSTERDAM
5556,1523,1,AMSTERDAM
90,-4467,1,AMSTERDAM
1268,923,1,AMSTERDAM
1463,-1160,1,AMSTERDAM
1475,1881,1,AMSTERDAM
12959,3763,1,AMSTERDAM
6166,122,1,AMSTERDAM
12932,2098,1,AMSTERDAM
11934,2525,1,AMSTERDAM
7996,-628,1,AMSTERDAM
6872,599,1,AMSTERDAM
97,-1964,1,AMSTERDAM
519,11799,1,AMSTERDAM
4026,-3059,1,AMSTERDAM
9652,1204,1,AMSTERDAM
10804,-833,1,AMSTERDAM
11661,-557,1,AMSTERDAM
6099,-424,1,AMSTERDAM
4271,-1369,1,AMSTERDAM
2201,2182,1,AMSTERDAM
14121,1376,1,AMSTERDAM
10319,5252,1,AMSTERDAM
14536,-594,1,AMSTERDAM
7281,-2414,1,AMSTERDAM
12685,-3468,1,AMSTERDAM
9565,-2167,1,AMSTERDAM
3781,449,1,AMSTERDAM
10811,1469,1,AMSTERDAM
8609,616,1,AMSTERDAM
351,-15927,1,AMSTERDAM
8691,844,1,AMSTERDAM
12673,-2643,1,AMSTERDAM
13307,304,1,AMSTERDAM
5684,-10953,1,AMSTERDAM
6799,-931,1,AMSTERDAM
5937,2790,1,AMSTERDAM
7695,-184,1,AMSTERDAM
3021,-1216,1,AMSTERDAM
4467,-425,1,AMSTERDAM
10430,2132,1,AMSTERDAM
5480,2228,1,AMSTERDAM
4192,322,1,AMSTERDAM
13975,93,1,AMSTERDAM
1620,348,1,AMSTERDAM
10888,-201,1,AMSTERDAM
2618,257,1,AMSTERDAM
7704,-639,1,AMSTERDAM
6629,586,1,AMSTERDAM
9221,-119,1,AMSTERDAM
6729,606,1,AMSTERDAM
10820,-2061,1,AMSTERDAM
3162,-795,1,AMSTERDAM
11381,766,1,AMSTERDAM
8834,-6346,1,AMSTERDAM
7623,-1560,1,AMSTERDAM
8753,-2065,1,AMSTERDAM
5079,-360,1,AMSTERDAM
12753,-482,1,AMSTERDAM
4164,273,1,AMSTERDAM
3632,235,1,AMSTERDAM
11729,-3059,1,AMSTERDAM
8861,-2059,1,AMSTERDAM
3177,-18148,1,AMSTERDAM
12570,3590,1,AMSTERDAM
14176,18755,1,AMSTERDAM
5161,-2242,1,AMSTERDAM
7473,-27500,1,AMSTERDAM
9407,-2160,1,AMSTERDAM
3648,-663,1,AMSTERDAM
13071,122,1,AMSTERDAM
