original_index,delta,period,city
5734,7861,1,ROTTERDAM
5684,-2844,1,ROTTERDAM
4590,95,1,ROTTERDAM
7025,117,1,ROTTERDAM
4809,-24133,1,ROTTERDAM
5856,-90,1,ROTTERDAM
534,-431,1,ROTTERDAM
3552,40,1,ROTTERDAM
8823,-1337,1,ROTTERDAM
1109,-1398,1,ROTTERDAM
691,878,1,ROTTERDAM
3949,-451,1,ROTTERDAM
1706,-2291,1,ROTTERDAM
7851,-471,1,ROTTERDAM
993,1054,1,ROTTERDAM
3629,1113,1,ROTTERDAM
91,-1231,1,ROTTERDAM
2271,-847,1,ROTTERDAM
8243,-2907,1,ROTTERDAM
6128,994,1,ROTTERDAM
7890,259,1,ROTTERDAM
4555,-533,1,ROTTERDAM
2517,-1211,1,ROTTERDAM
7026,13360,1,ROTTERDAM
624,2928,1,ROTTERDAM
5218,196,1,ROTTERDAM
4943,10755,1,ROTTERDAM
4218,-1482,1,ROTTERDAM
2449,459,1,ROTTERDAM
753,-123,1,ROTTERDAM
3324,-1229,1,ROTTERDAM
9777,2313,1,ROTTERDAM
1102,-3516,1,ROTTERDAM
9253,-928,1,ROTTERDAM
5037,2417,1,ROTTERDAM
1970,-1943,1,ROTTERDAM
2322,-448,1,ROTTERDAM
6141,322,1,ROTTERDAM
1853,-348,1,ROTTERDAM
3025,-3584,1,ROTTERDAM
9992,-579,1,ROTTERDAM
5765,-3928,1,ROTTERDAM
980,168,1,ROTTERDAM
3199,-27,1,ROTTERDAM
2728,427,1,ROTTERDAM
421,9370,1,ROTTERDAM
2115,-2399,1,ROTTERDAM
1502,1493,1,ROTTERDAM
668,-5311,1,ROTTERDAM
1362,-318,1,ROTTERDAM
9047,369,1,ROTTERDAM
8236,-858,1,ROTTERDAM
879,-605,1,ROTTERDAM
5185,-193,1,ROTTERDAM
4297,-2652,1,ROTTERDAM
4374,1611,1,ROTTERDAM
8067,1094,1,ROTTERDAM
7497,138,1,ROTTERDAM
5026,2732,1,ROTTERDAM
5343,-4218,1,ROTTERDAM
4224,-1895,1,ROTTERDAM
5168,-1178,1,ROTTERDAM
2181,90,1,ROTTERDAM
223,-25895,1,ROTTERDAM
7893,470,1,ROTTERDAM
4031,811,1,ROTTERDAM
8973,-541,1,ROTTERDAM
9602,16876,1,ROTTERDAM
9104,-1268,1,ROTTERDAM
5357,-1038,1,ROTTERDAM
5927,-338,1,ROTTERDAM
6972,235,1,ROTTERDAM
9710,3033,1,ROTTERDAM
3502,-953,1,ROTTERDAM
2177,1226,1,ROTTERDAM
4905,-842,1,ROTTERDAM
5946,1598,1,ROTTERDAM
4138,4051,1,ROTTERDAM
8687,-2450,1,ROTTERDAM
769,1337,1,ROTTERDAM
8849,2406,1,ROTTERDAM
8030,-1314,1,ROTTERDAM
7056,-1014,1,ROTTERDAM
4739,-1824,1,ROTTERDAM
2482,14901,1,ROTTERDAM
4480,-329,1,ROTTERDAM
9630,-11829,1,ROTTERDAM
7218,6786,1,ROTTERDAM
2361,5169,1,ROTTERDAM
7017,-766,1,ROTTERDAM
5115,884,1,ROTTERDAM
5741,288,1,ROTTERDAM
1348,1503,1,ROTTERDAM
6646,-479,1,ROTTERDAM
7430,4279,1,ROTTERDAM
7842,-840,1,ROTTERDAM
1423,-846,1,ROTTERDAM
2686,-15,1,ROTTERDAM
6493,386,1,ROTTERDAM
1678,-2821,1,ROTTERDAM
4109,-615,1,ROTTERDAM
2445,838,1,ROTTERDAM
1521,762,1,ROTTERDAM
8414,308,1,ROTTERDAM
6757,-449,1,ROTTERDAM
7082,-234,1,ROTTERDAM
9928,1635,1,ROTTERDAM
2394,231,1,ROTTERDAM
1839,-659,1,ROTTERDAM
4065,2529,1,ROTTERDAM
9692,1871,1,ROTTERDAM
1587,-496,1,ROTTERDAM
6787,2724,1,ROTTERDAM
6073,-3156,1,ROTTERDAM
5701,-92,1,ROTTERDAM
912,-81,1,ROTTERDAM
7631,-838,1,ROTTERDAM
6786,2459,1,ROTTERDAM
9420,-82,1,ROTTERDAM
7925,-5811,1,ROTTERDAM
6471,656,1,ROTTERDAM
545,90,1,ROTTERDAM
1950,-413,1,ROTTERDAM
614,7733,1,ROTTERDAM
7613,1215,1,ROTTERDAM
8268,-1053,1,ROTTERDAM
115,-6624,1,ROTTERDAM
9853,-154,1,ROTTERDAM
6759,20,1,ROTTERDAM
1363,224,1,ROTTERDAM
1402,268,1,ROTTERDAM
2431,-564,1,ROTTERDAM
1554,-926,1,ROTTERDAM
6225,1516,1,ROTTERDAM
2850,4614,1,ROTTERDAM
3891,-20387,1,ROTTERDAM
299,-1532,1,ROTTERDAM
3595,562,1,ROTTERDAM
8817,-1738,1,ROTTERDAM
314,-298,1,ROTTERDAM
4022,6747,1,ROTTERDAM
3551,-846,1,ROTTERDAM
3620,787,1,ROTTERDAM
3553,-970,1,ROTTERDAM
479,-1524,1,ROTTERDAM
3201,34,1,ROTTERDAM
4439,1087,1,ROTTERDAM
3665,-1583,1,ROTTERDAM
9817,2851,1,ROTTERDAM
8648,-2117,1,ROTTERDAM
5146,-424,1,ROTTERDAM
2422,-8047,1,ROTTERDAM
5236,-5445,1,ROTTERDAM
8804,-8729,1,ROTTERDAM
6448,-1016,1,ROTTERDAM
9716,1312,1,ROTTERDAM
8517,1279,1,ROTTERDAM
7814,137,1,ROTTERDAM
2815,1387,1,ROTTERDAM
1415,-1875,1,ROTTERDAM
1470,-783,1,ROTTERDAM
8456,700,1,ROTTERDAM
6,-7290,1,ROTTERDAM
11,-4824,1,ROTTERDAM
6330,-152,1,ROTTERDAM
3498,-34,1,ROTTERDAM
887,3212,1,ROTTERDAM
8386,446,1,ROTTERDAM
4166,175,1,ROTTERDAM
9063,1157,1,ROTTERDAM
7333,4085,1,ROTTERDAM
5660,2120,1,ROTTERDAM
539,-985,1,ROTTERDAM
3920,517,1,ROTTERDAM
9307,-793,1,ROTTERDAM
3724,479,1,ROTTERDAM
2367,-1983,1,ROTTERDAM
4956,549,1,ROTTERDAM
5803,795,1,ROTTERDAM
2060,1266,1,ROTTERDAM
5553,-1783,1,ROTTERDAM
4055,13057,1,ROTTERDAM
9085,2198,1,ROTTERDAM
6996,684,1,ROTTERDAM
3630,2416,1,ROTTERDAM
5525,-5983,1,ROTTERDAM
3652,-2181,1,ROTTERDAM
8944,1903,1,ROTTERDAM
8655,-747,1,ROTTERDAM
8026,-1246,1,ROTTERDAM
7319,379,1,ROTTERDAM
3068,-978,1,ROTTERDAM
6089,-19725,1,ROTTERDAM
9622,357,1,ROTTERDAM
4617,-1278,1,ROTTERDAM
4214,-1186,1,ROTTERDAM
4474,-1743,1,ROTTERDAM
6902,-471,1,ROTTERDAM
3195,289,1,ROTTERDAM
686,-3938,1,ROTTERDAM
4091,-208,1,ROTTERDAM
8694,-460,1,ROTTERDAM
